gid,request,priority_score,role,seed_in_kzt,seed_kept_kzt,depth,is_seed
100000001567366100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.516499017,terminal,824070.000000000,824070.000000000,1,False
100000007777377100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.513727115,terminal,273106.913873821,270053.782058128,2,False
100000005183943100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.511797665,terminal,680900.000000000,680900.000000000,1,False
100000006518161100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.500787202,transit,534940.886894069,127548.514344622,1,False
100000001929088100,поздние поступления: запросить переводы за август,0.494326721,terminal,396010.000000000,396010.000000000,1,False
100000007939160100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.492899521,terminal,795000.000000000,795000.000000000,1,False
100000005778283100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.492224145,consolidator,346349.748372381,346349.748372381,1,False
100000003131693100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.490357560,terminal,353277.000000000,353277.000000000,1,False
100000008516839100,seed без исходящих: запросить выписку,0.488366955,consolidator,97000.000000000,97000.000000000,0,True
100000003946524100,выход не покрыт входом: запросить входящие извне выборки,0.487371824,transit,113757.000000000,113757.000000000,1,False
100000004186824100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.482734395,terminal,447070.872689938,440142.610328128,1,False
100000004299488100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.482616822,consolidator,367125.252899960,303613.483792668,1,False
100000002565277100,поздние поступления: запросить переводы за август,0.481543977,terminal,483319.000000000,483319.000000000,1,False
100000005432267100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.475828334,terminal,250000.000000000,250000.000000000,1,False
100000002173161100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.474633264,consolidator,869500.000000000,869500.000000000,1,False
100000002836736100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.470860911,terminal,233418.604651163,233418.604651163,1,False
100000000706545100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.465530568,consolidator,725025.723140496,673678.484222389,1,False
100000008094734100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.463490906,consolidator,205461.483907900,205461.483907900,1,False
100000005660203100,поздние поступления: запросить переводы за август,0.461390723,terminal,384587.849760642,363669.429792085,2,False
100000002596035100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.459785382,terminal,231570.000000000,231570.000000000,1,False
100000004156082100,выход не покрыт входом: запросить входящие извне выборки,0.458778629,coordinator,61893.035043832,0.000000000,1,False
100000006755850100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.456059135,terminal,164560.202515723,164560.202515723,2,False
100000002618492100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.451241666,terminal,178000.000000000,178000.000000000,1,False
100000007055802100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.449468333,consolidator,232232.674706208,202362.490623398,1,False
100000004559194100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.449417059,terminal,282145.000000000,282145.000000000,1,False
100000004226848100,поздние поступления: запросить переводы за август,0.447474033,terminal,301866.000000000,301866.000000000,1,False
100000007181706100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.445211608,terminal,163772.000000000,163772.000000000,1,False
100000005456919100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.444591944,terminal,263950.000000000,261200.234399417,1,False
100000002760175100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.444470459,terminal,187410.000000000,187410.000000000,1,False
100000005614315100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.441847641,terminal,454000.000000000,454000.000000000,2,False
100000001924185100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.439334490,terminal,151000.000000000,151000.000000000,1,False
100000003254723100,поздние поступления: запросить переводы за август,0.436251629,terminal,120694.000000000,120694.000000000,2,False
100000002621949100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.435081915,terminal,164612.000000000,164612.000000000,1,False
100000000041368100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.433024996,terminal,160000.000000000,160000.000000000,1,False
100000004664905100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.430695442,terminal,251850.408163265,251850.408163265,1,False
100000003042994100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.429421100,terminal,286086.000000000,286086.000000000,1,False
100000007544358100,выход не покрыт входом: запросить входящие извне выборки,0.427567802,transit,300000.000000000,150000.000000000,1,False
100000007507343100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.427038620,terminal,370000.000000000,370000.000000000,1,False
100000004790991100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.427029621,terminal,239413.000000000,239413.000000000,1,False
100000003205210100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.422088606,terminal,137563.000000000,137563.000000000,1,False
100000002864256100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.421144300,terminal,135780.000000000,135780.000000000,1,False
100000008556318100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.420641286,terminal,116632.000000000,116632.000000000,1,False
100000004692798100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.415769405,terminal,204920.985253832,190305.000000000,1,False
100000004105288100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.414491277,terminal,107131.618079330,107131.618079330,1,False
100000005034574100,поздние поступления: запросить переводы за август,0.411670186,terminal,258816.000000000,258816.000000000,1,False
100000004948177100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.410965320,consolidator,341163.000000000,341163.000000000,1,False
100000001463701100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.408580279,terminal,248000.000000000,248000.000000000,1,False
100000003014659100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.406864671,terminal,280000.000000000,280000.000000000,1,False
100000008418835100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.406397351,peripheral,1372000.000000000,1185821.000000000,0,True
100000008748408100,выход не покрыт входом: запросить входящие извне выборки,0.405475436,distributor,360000.000000000,0.000000000,1,False
100000008751429100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.404950432,consolidator,325891.171981330,267173.120141377,1,False
100000002480800100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.403272523,terminal,230465.086557513,230465.086557513,1,False
100000004399686100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.402702135,terminal,228656.111252871,228656.111252871,3,False
100000002188829100,поздние поступления: запросить переводы за август,0.401181664,terminal,400000.000000000,400000.000000000,1,False
100000002958286100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.400660520,terminal,257000.000000000,257000.000000000,1,False
100000000810551100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.399004999,terminal,100000.000000000,100000.000000000,1,False
100000002826669100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.397813077,terminal,159900.000000000,159900.000000000,2,False
100000003057225100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.394490333,terminal,236000.000000000,236000.000000000,1,False
100000002591469100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.394389050,terminal,235670.000000000,235670.000000000,1,False
100000002670860100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.393009999,terminal,200000.000000000,200000.000000000,1,False
100000003831324100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.393009999,terminal,200000.000000000,200000.000000000,1,False
100000007283257100,поздние поступления: запросить переводы за август,0.390055204,terminal,192000.000000000,192000.000000000,1,False
100000002615479100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.389408779,terminal,220000.000000000,220000.000000000,1,False
100000001162560100,выход не покрыт входом: запросить входящие извне выборки,0.387581925,distributor,331300.000000000,0.000000000,1,False
100000004588479100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.384425608,terminal,177633.000000000,177633.000000000,1,False
100000007281639100,поздние поступления: запросить переводы за август,0.382735008,terminal,149352.188367826,149352.188367826,1,False
100000003798151100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.382686876,terminal,150000.000000000,150000.000000000,2,False
100000000769919100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.382509999,terminal,200000.000000000,200000.000000000,2,False
100000001960517100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.382509999,terminal,200000.000000000,200000.000000000,1,False
100000004130144100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.382509999,terminal,200000.000000000,200000.000000000,1,False
100000007641801100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.382509999,terminal,200000.000000000,200000.000000000,1,False
100000002720627100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.382256216,terminal,199300.000000000,199300.000000000,1,False
100000008314203100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.380529959,peripheral,382076.000000000,198076.000000000,0,True
100000003071930100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.376270222,consolidator,227610.000000000,225227.198132367,1,False
100000008418934100,поздние поступления: запросить переводы за август,0.373864083,terminal,274254.966887417,274254.966887417,2,False
100000001872484100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.373541259,peripheral,871400.000000000,356820.000000000,1,False
100000008232832100,выход не покрыт входом: запросить входящие извне выборки,0.371443316,peripheral,337000.000000000,337000.000000000,1,False
100000002981527100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.369889880,terminal,168000.000000000,168000.000000000,1,False
100000000440392100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.367854254,terminal,105705.000000000,105705.000000000,1,False
100000005895525100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.366535207,terminal,120000.000000000,120000.000000000,1,False
100000007334196100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.361687841,terminal,150002.000000000,150002.000000000,1,False
100000005844459100,поздние поступления: запросить переводы за август,0.360099276,terminal,150000.000000000,150000.000000000,1,False
100000001851289100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.359913962,terminal,109510.000000000,109510.000000000,1,False
100000002824176100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.358732081,terminal,144000.000000000,144000.000000000,1,False
100000002462183100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.358573077,terminal,107500.000000000,107500.000000000,1,False
100000005523088100,seed без исходящих: запросить выписку,0.357688006,peripheral,700000.000000000,700000.000000000,0,True
100000003158727100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.356487841,consolidator,176440.000000000,176440.000000000,1,False
100000004979498100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.355185850,peripheral,676215.473065867,498437.695288089,2,False
100000000941942100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.351328891,terminal,130000.000000000,130000.000000000,1,False
100000002784085100,поздние поступления: запросить переводы за август,0.351009999,terminal,200000.000000000,200000.000000000,1,False
100000008566737100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.345677222,terminal,104000.000000000,104000.000000000,1,False
100000002603769100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.344721433,consolidator,149968.000000000,149968.000000000,1,False
100000002890167100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.344410620,terminal,118150.000000000,118150.000000000,1,False
100000001477796100,поздние поступления: запросить переводы за август,0.344183564,terminal,182000.000000000,182000.000000000,1,False
100000001330685100,выход не покрыт входом: запросить входящие извне выборки,0.340015140,consolidator,130425.000000000,130425.000000000,1,False
100000004144536100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.337740411,consolidator,115751.719498679,115751.719498679,1,False
100000001524952100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.335042773,terminal,103807.000000000,103807.000000000,1,False
100000008601794100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.332518076,peripheral,494400.000000000,428000.000000000,0,True
100000002757797100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.332338333,terminal,100000.000000000,100000.000000000,1,False
100000005493505100,seed без исходящих: запросить выписку,0.328355416,consolidator,36000.000000000,36000.000000000,0,True
100000004394765100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.327887703,peripheral,463763.132043745,435622.994346947,1,False
100000003022835100,поздние поступления: запросить переводы за август,0.316990001,terminal,125000.000000000,125000.000000000,1,False
100000008736940100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.314758465,peripheral,386830.577372328,239892.458484408,1,False
100000004480280100,выход не покрыт входом: запросить входящие извне выборки,0.311240391,peripheral,146694.000000000,0.000000000,1,False
100000002762076100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.308040402,peripheral,140350.000000000,140350.000000000,1,False
100000008555918100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.307450591,peripheral,139211.000000000,139211.000000000,1,False
100000008747113100,поздние поступления: запросить переводы за август,0.305766462,terminal,92591.000000000,92591.000000000,1,False
100000008193577100,выход не покрыт входом: запросить входящие извне выборки,0.304093813,distributor,146208.587786260,22000.000000000,1,False
100000000998559100,поздние поступления: запросить переводы за август,0.300838333,terminal,100000.000000000,100000.000000000,1,False
100000008748914100,выход не покрыт входом: запросить входящие извне выборки,0.300685520,distributor,95000.000000000,0.000000000,1,False
100000002988894100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.297820520,peripheral,306121.000000000,277121.000000000,1,False
100000005287097100,выход не покрыт входом: запросить входящие извне выборки,0.297812507,distributor,111461.604143766,0.000000000,1,False
100000004759121100,выход не покрыт входом: запросить входящие извне выборки,0.297809447,consolidator,50000.000000000,50000.000000000,1,False
100000000331309100,выход не покрыт входом: запросить входящие извне выборки,0.297475394,distributor,47187.000000000,0.000000000,2,False
100000005664632100,поздние поступления: запросить переводы за август,0.296155817,terminal,50000.000000000,50000.000000000,2,False
100000002152857100,выход не покрыт входом: запросить входящие извне выборки,0.294529882,distributor,105000.000000000,0.000000000,1,False
100000003360542100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.292794902,peripheral,113694.489653569,113694.489653569,2,False
100000003923946100,выход не покрыт входом: запросить входящие извне выборки,0.291879851,peripheral,282000.000000000,80000.000000000,1,False
100000002635780100,поздние поступления: запросить переводы за август,0.288556500,terminal,84393.501479290,84393.501479290,2,False
100000003701161100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.286727343,peripheral,262623.789976239,189999.175874323,1,False
100000003835149100,выход не покрыт входом: запросить входящие извне выборки,0.282726065,peripheral,248500.000000000,0.000000000,1,False
100000004351795100,выход не покрыт входом: запросить входящие извне выборки,0.281572173,distributor,66448.173099109,0.000000000,1,False
100000000274067100,выход не покрыт входом: запросить входящие извне выборки,0.280775649,peripheral,241893.333333333,23786.177777778,1,False
100000001965374100,выход не покрыт входом: запросить входящие извне выборки,0.276702135,peripheral,228656.111252871,0.000000000,2,False
100000005668605100,seed без исходящих: запросить выписку,0.276509719,consolidator,58442.437500000,58442.437500000,0,True
100000006069103100,выход не покрыт входом: запросить входящие извне выборки,0.276271029,transit,38818.000000000,35817.969090965,1,False
100000008603629100,выход не покрыт входом: запросить входящие извне выборки,0.273467490,distributor,33866.861084385,0.000000000,2,False
100000002958343100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.273149401,peripheral,217704.000000000,121752.977777778,2,False
100000005882013100,поздние поступления: запросить переводы за август,0.267738806,terminal,43692.063861671,43692.063861671,2,False
100000004070318100,выход не покрыт входом: запросить входящие извне выборки,0.266670382,distributor,64725.000000000,0.000000000,1,False
100000008213966100,выход не покрыт входом: запросить входящие извне выборки,0.265264760,consolidator,46436.401967478,0.000000000,2,False
100000002796853100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.256407011,peripheral,172747.619999325,127411.653808976,2,False
100000006901046100,поздние поступления: запросить переводы за август,0.252591182,terminal,51347.238918107,47621.515777611,2,False
100000002306369100,выход не покрыт входом: запросить входящие извне выборки,0.252463298,distributor,73166.000000000,0.000000000,1,False
100000005527892100,выход не покрыт входом: запросить входящие извне выборки,0.250901399,distributor,70000.000000000,0.000000000,1,False
100000005612411100,выход не покрыт входом: запросить входящие извне выборки,0.245537285,distributor,65000.000000000,0.000000000,1,False
100000003809101100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.244255259,peripheral,146050.000000000,136678.809752968,1,False
100000008169544100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.239680020,peripheral,137104.000000000,119804.000000000,1,False
100000001697501100,выход не покрыт входом: запросить входящие извне выборки,0.239494941,distributor,25000.000000000,0.000000000,1,False
100000003366471100,поздние поступления: запросить переводы за август,0.238167532,terminal,17082.687443294,15917.424233089,3,False
100000001937767100,выход не покрыт входом: запросить входящие извне выборки,0.237550978,peripheral,53000.000000000,0.000000000,1,False
100000008743913100,выход не покрыт входом: запросить входящие извне выборки,0.237192195,distributor,41119.105057758,0.000000000,2,False
100000006579678100,выход не покрыт входом: запросить входящие извне выборки,0.234031894,distributor,42930.000000000,0.000000000,1,False
100000003366154100,выход не покрыт входом: запросить входящие извне выборки,0.232990001,peripheral,125000.000000000,0.000000000,1,False
100000008137435100,выход не покрыт входом: запросить входящие извне выборки,0.232779058,distributor,43906.000000000,0.000000000,1,False
100000000703894100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.230035207,peripheral,120000.000000000,120000.000000000,1,False
100000001380054100,выход не покрыт входом: запросить входящие извне выборки,0.230035207,peripheral,120000.000000000,70000.000000000,1,False
100000008477350100,выход не покрыт входом: запросить входящие извне выборки,0.229193396,distributor,22033.843444325,0.000000000,2,False
100000004150593100,выход не покрыт входом: запросить входящие извне выборки,0.228789113,distributor,47549.400000000,0.000000000,2,False
100000008710791100,выход не покрыт входом: запросить входящие извне выборки,0.226660545,distributor,29169.788242489,0.000000000,2,False
100000004390333100,выход не покрыт входом: запросить входящие извне выборки,0.223278391,distributor,45751.000000000,0.000000000,1,False
100000002605184100,поздние поступления: запросить переводы за август,0.223183570,terminal,34203.569099934,34203.569099934,2,False
100000008172352100,выход не покрыт входом: запросить входящие извне выборки,0.222305463,distributor,47810.457797853,0.000000000,1,False
100000000861294100,поздние поступления: запросить переводы за август,0.221498667,terminal,33416.580548857,33416.580548857,2,False
100000008304139100,выход не покрыт входом: запросить входящие извне выборки,0.218702463,distributor,23567.000000000,0.000000000,1,False
100000005316708100,выход не покрыт входом: запросить входящие извне выборки,0.209212084,peripheral,90000.000000000,90000.000000000,1,False
100000000332284100,выход не покрыт входом: запросить входящие извне выборки,0.204896874,consolidator,6000.000000000,0.000000000,2,False
100000008673001100,seed без исходящих: запросить выписку,0.200686664,peripheral,80000.000000000,80000.000000000,0,True
100000003854444100,выход не покрыт входом: запросить входящие извне выборки,0.197957679,distributor,23468.000000000,0.000000000,2,False
100000005079754100,выход не покрыт входом: запросить входящие извне выборки,0.191021339,peripheral,70000.000000000,50000.000000000,1,False
100000003031890100,поздние поступления: запросить переводы за август,0.187921969,terminal,8770.744031235,8770.744031235,2,False
100000002956898100,поздние поступления: запросить переводы за август,0.186958076,terminal,16460.580233695,16460.580233695,2,False
100000004017410100,выход не покрыт входом: запросить входящие извне выборки,0.184249702,distributor,22320.720841999,0.000000000,3,False
100000008188026100,выход не покрыт входом: запросить входящие извне выборки,0.183805243,peripheral,63358.000000000,0.000000000,1,False
100000007639767100,выход не покрыт входом: запросить входящие извне выборки,0.180073271,distributor,24964.874564500,0.000000000,1,False
100000004677680100,выход не покрыт входом: запросить входящие извне выборки,0.179863541,peripheral,60000.000000000,0.000000000,1,False
100000008389800100,выход не покрыт входом: запросить входящие извне выборки,0.176960247,distributor,25553.571428571,3942.551020408,2,False
100000003589877100,выход не покрыт входом: запросить входящие извне выборки,0.176493971,distributor,26000.000000000,0.000000000,1,False
100000006707582100,выход не покрыт входом: запросить входящие извне выборки,0.175642113,distributor,22000.000000000,22000.000000000,1,False
100000006534886100,выход не покрыт входом: запросить входящие извне выборки,0.171532755,peripheral,53476.938106693,2258.487389219,2,False
100000004847758100,выход не покрыт входом: запросить входящие извне выборки,0.168247846,distributor,18826.803933881,0.000000000,1,False
100000002267998100,выход не покрыт входом: запросить входящие извне выборки,0.168218235,peripheral,51083.355015668,9166.493228191,2,False
100000003321423100,поздние поступления: запросить переводы за август,0.167119510,terminal,10969.505876127,10969.505876127,2,False
100000008628231100,выход не покрыт входом: запросить входящие извне выборки,0.166666667,peripheral,50000.000000000,0.000000000,1,False
100000000795129100,поздние поступления: запросить переводы за август,0.163068986,terminal,14906.782719174,14906.782719174,2,False
100000001141268100,поздние поступления: запросить переводы за август,0.162902767,terminal,12864.313293462,12596.306766515,3,False
100000001677929100,выход не покрыт входом: запросить входящие извне выборки,0.159040418,peripheral,45000.000000000,45000.000000000,2,False
100000004816564100,поздние поступления: запросить переводы за август,0.157109034,terminal,13728.535360229,13488.088825266,2,False
100000008489922100,выход не покрыт входом: запросить входящие извне выборки,0.152862725,distributor,8120.571521865,0.000000000,3,False
100000005242320100,выход не покрыт входом: запросить входящие извне выборки,0.147884218,distributor,9900.000000000,0.000000000,2,False
100000005339662100,выход не покрыт входом: запросить входящие извне выборки,0.140551631,peripheral,34856.180044466,859.620814580,1,False
100000001611488100,поздние поступления: запросить переводы за август,0.140509164,terminal,6000.000000000,6000.000000000,3,False
100000003159641100,выход не покрыт входом: запросить входящие извне выборки,0.133078476,consolidator,6721.339604888,0.000000000,2,False
100000004737764100,поздние поступления: запросить переводы за август,0.130688679,terminal,9530.201342282,9530.201342282,3,False
100000002956779100,поздние поступления: запросить переводы за август,0.128094049,terminal,9194.630872483,9194.630872483,3,False
100000004527381100,выход не покрыт входом: запросить входящие извне выборки,0.127622427,peripheral,29154.430900066,0.000000000,2,False
100000008205937100,поздние поступления: запросить переводы за август,0.124713611,terminal,7282.010643612,7282.010643612,2,False
100000002731501100,выход не покрыт входом: запросить входящие извне выборки,0.123914560,distributor,11567.978807685,0.000000000,1,False
100000008547948100,выход не покрыт входом: запросить входящие извне выборки,0.122793394,distributor,6467.999999979,0.000000000,2,False
100000000089154100,выход не покрыт входом: запросить входящие извне выборки,0.121731746,distributor,10000.000000000,0.000000000,1,False
100000003796063100,выход не покрыт входом: запросить входящие извне выборки,0.119142941,distributor,9553.162669087,0.000000111,3,False
100000005634552100,выход не покрыт входом: запросить входящие извне выборки,0.118915091,peripheral,25850.000000000,25850.000000000,1,False
100000008466579100,выход не покрыт входом: запросить входящие извне выборки,0.115056687,distributor,6951.999999977,0.000000000,2,False
100000008346837100,выход не покрыт входом: запросить входящие извне выборки,0.114556854,distributor,6000.000000000,0.000000000,2,False
100000004993576100,поздние поступления: запросить переводы за август,0.113332051,terminal,7498.291307536,7498.291307536,2,False
100000003001564100,выход не покрыт входом: запросить входящие извне выборки,0.112077886,peripheral,23520.000000000,0.000000000,1,False
100000004784224100,выход не покрыт входом: запросить входящие извне выборки,0.112016310,peripheral,23500.000000000,0.000000000,1,False
100000003873332100,выход не покрыт входом: запросить входящие извне выборки,0.111917679,peripheral,23468.000000000,0.000000000,1,False
100000005507142100,выход не покрыт входом: запросить входящие извне выборки,0.110459639,peripheral,23000.000000000,0.000000000,2,False
100000003616818100,выход не покрыт входом: запросить входящие извне выборки,0.109971897,peripheral,22845.537830424,15702.680687567,1,False
100000002748180100,выход не покрыт входом: запросить входящие извне выборки,0.109684258,distributor,9900.000000000,0.000000000,1,False
100000002548759100,поздние поступления: запросить переводы за август,0.108536612,terminal,6070.013738321,6070.013738321,3,False
100000002224132100,выход не покрыт входом: запросить входящие извне выборки,0.102409317,peripheral,20579.077679165,0.000000000,2,False
100000004160650100,выход не покрыт входом: запросить входящие извне выборки,0.096821622,distributor,5388.892174628,0.000000000,2,False
100000008710843100,выход не покрыт входом: запросить входящие извне выборки,0.096400480,distributor,5849.696910948,0.000000000,2,False
100000007442518100,выход не покрыт входом: запросить входящие извне выборки,0.093575948,distributor,6004.902117942,0.000000000,1,False
100000001526235100,выход не покрыт входом: запросить входящие извне выборки,0.093390291,distributor,7904.445116420,0.000000000,2,False
100000005782781100,выход не покрыт входом: запросить входящие извне выборки,0.091229886,distributor,5790.940180320,0.000000000,2,False
100000005664922100,выход не покрыт входом: запросить входящие извне выборки,0.088579820,peripheral,17000.000000000,17000.000000000,2,False
100000005767403100,граница обхода: запросить исходящие переводы,0.083395614,peripheral,15824.998994994,15824.998994994,4,False
100000005140601100,выход не покрыт входом: запросить входящие извне выборки,0.076832321,peripheral,14453.197200893,5768.197200893,2,False
100000000490383100,выход не покрыт входом: запросить входящие извне выборки,0.073436934,distributor,6000.000000000,0.000000000,2,False
100000008003034100,выход не покрыт входом: запросить входящие извне выборки,0.064570904,peripheral,12201.000000000,0.000000000,1,False
100000002681449100,выход не покрыт входом: запросить входящие извне выборки,0.062762826,peripheral,11900.000000000,0.000000000,1,False
100000004398811100,выход не покрыт входом: запросить входящие извне выборки,0.046688679,peripheral,9530.201342282,0.000000000,2,False
100000008625905100,выход не покрыт входом: запросить входящие извне выборки,0.021414306,peripheral,6721.339604888,6721.339604888,3,False
